Item_Id,Low_Cap_Price
IT_265079,3264.02574
IT_265087,3142.799236
IT_265107,4746.535003
IT_265139,13327.47594
IT_265142,1922.711545
IT_265144,1242.864548
IT_265148,3590.173972
IT_265156,5687.278595
IT_265162,9684.946628
IT_265170,4813.098661
IT_265175,6451.786257
IT_265181,8515.870007
IT_265183,7956.127292
IT_265184,7361.226499
IT_265196,7008.970348
IT_265201,9010.227323
IT_265205,9287.419737
IT_265244,3121.109804
IT_265255,6746.351488
IT_265259,8278.438506
IT_265264,5391.233282
IT_265274,2277.784488
IT_265275,2311.627167
IT_265294,638.1988595
IT_265315,4614.393896
IT_265317,2267.380906
IT_265332,7607.144245
IT_265338,8255.914484
IT_265339,7556.103907
IT_265341,8587.825449
IT_265349,6892.755167
IT_265350,7340.450665
IT_265360,9417.894795
IT_265379,3159.571998
IT_265382,13568.35263
IT_265417,4604.008233
IT_265448,1915.51307
IT_265455,3592.307034
IT_265482,8008.543954
IT_265490,7144.720707
IT_265495,8504.960671
IT_265499,6688.123247
IT_265500,7068.580756
IT_265504,8960.015328
IT_265507,7601.513271
IT_265533,5036.47129
IT_265566,5051.443934
IT_265568,2163.711011
IT_265575,6722.412916
IT_265577,3625.264548
IT_265581,8513.13762
IT_265611,7883.202493
IT_265615,2965.513056
IT_265647,5200.376361
IT_265697,6694.912115
IT_265701,3677.625174
IT_265702,2726.255445
IT_265703,987.0841626
IT_265720,4407.423192
IT_265734,6734.456366
IT_265736,7165.560594
IT_265740,8463.4077
IT_265742,7925.114795
IT_265747,8023.742667
IT_265751,7359.652868
IT_265757,9555.033508
IT_265792,6406.298738
IT_265816,9550.469469
IT_265819,2668.996564
IT_265866,9481.212651
IT_265869,6608.53936
IT_265874,2418.483092
IT_265880,2615.348118
IT_265905,6529.521911
IT_265911,8470.098893
IT_265922,8743.258201
IT_265927,9061.359257
IT_265932,9294.649909
IT_265935,7997.154217
IT_265948,2985.60546
IT_265966,5785.429876
IT_265976,3184.348837
IT_265999,6560.768525
IT_266030,2578.84805
IT_266056,1628.776144
IT_266058,3523.497955
IT_266060,932.123866
IT_266069,2083.246465
IT_266096,10116.97912
IT_266103,6930.563808
IT_266111,7723.958762
IT_266115,8010.902492
IT_266124,8725.36756
IT_266128,9273.449
IT_266132,8915.806969
IT_266137,7981.964681
IT_266141,3768.681065
IT_266155,13301.7237
IT_266157,10803.17959
IT_266166,6163.941893
IT_266175,2931.749036
IT_266188,3411.461121
IT_266255,465.7727262
IT_266258,1923.713176
IT_266264,3206.997801
IT_266281,4761.07246
IT_266298,6800.853149
IT_266299,6811.69667
IT_266307,7121.173236
IT_266318,7090.685677
IT_266322,8871.095088
IT_266324,7451.143144
IT_266334,8016.23979
IT_266338,3604.654378
IT_266354,11812.75765
IT_266366,3084.305044
IT_266376,2904.432236
IT_266402,5498.259474
IT_266413,2416.679259
IT_266453,983.1016186
IT_266498,6803.583032
IT_266499,1984.435289
IT_266506,7760.696692
IT_266514,8373.881171
IT_266523,8823.23157
IT_266532,8543.592751
IT_266536,7990.762047
IT_266537,7647.717183
IT_266541,3638.202609
IT_266556,10754.80425
IT_266557,10509.40907
IT_266571,2521.090492
IT_266578,3095.045275
IT_266594,8011.758276
IT_266650,12885.69574
IT_266665,1503.555209
IT_266667,8102.508434
IT_266671,3619.85082
IT_266684,8405.477291
IT_266700,6497.056205
IT_266703,7073.74412
IT_266715,8141.320371
IT_266731,9013.593146
IT_266741,8024.984255
IT_266744,7743.750263
IT_266752,4839.172161
IT_266786,12536.28835
IT_266806,7372.864543
IT_266825,10433.33942
IT_266833,3652.919103
IT_266836,1632.841849
IT_266842,3092.83463
IT_266855,8896.567309
IT_266915,14126.26134
IT_266927,5355.173084
IT_266950,5458.116557
IT_266955,4857.863595
IT_266974,6701.33581
IT_266977,6476.439108
IT_266981,7956.741399
IT_266983,7298.038598
IT_266988,7874.939797
IT_266993,6513.614252
IT_266994,7149.995705
IT_266996,8893.263723
IT_266999,7190.069588
IT_267001,9028.749724
IT_267003,7937.094677
IT_267004,7374.566499
IT_267019,2681.15345
IT_267026,13804.21653
IT_267049,2953.333154
IT_267067,2473.788601
IT_267121,8015.331014
IT_267125,1518.463306
IT_267130,3297.535243
IT_267169,7494.538349
IT_267181,7577.932268
IT_267189,7294.220157
IT_267194,7884.040524
IT_267202,2772.144748
IT_267243,2474.523144
IT_267326,7298.082396
IT_267328,7239.063352
IT_267333,6470.092113
IT_267401,2377.634792
IT_267411,6960.930404
IT_267468,1315.43747
IT_267471,4569.936425
IT_267474,6247.809944
IT_267476,3913.88358
IT_267495,4223.009002
IT_267513,6801.33431
IT_267517,7435.581624
IT_267519,5443.249855
IT_267534,7481.111237
IT_267544,7088.264154
IT_267555,2261.326743
IT_267556,3049.237406
IT_267599,2574.47394
IT_267604,2796.151106
IT_267652,5072.975784
IT_267654,492.6111166
IT_267656,1329.974872
IT_267662,2027.58089
IT_267707,6444.640215
IT_267711,6693.136298
IT_267713,5194.206277
IT_267714,7172.631535
IT_267721,7607.683304
IT_267735,4537.939713
IT_267764,11183.03938
IT_267808,2369.420266
IT_267819,6963.399547
IT_267844,2544.264445
IT_267885,1152.61129
IT_267929,6451.786257
IT_267932,6345.296358
IT_267938,5180.264552
IT_267939,6392.77943
IT_267944,7771.609437
IT_267945,7708.841921
IT_267951,6794.428914
IT_267954,8028.477174
IT_267957,4563.455635
IT_267970,3747.942482
IT_268027,5516.050801
IT_268040,2674.158314
IT_268075,6784.934472
IT_268107,1798.40804
IT_268195,14079.55217
IT_268249,6780.592643
IT_268250,6356.890374
IT_268256,7082.86382
IT_268259,7140.730637
IT_268265,7614.589163
IT_268272,6648.859534
IT_268275,7941.247897
IT_268284,7153.614646
IT_268285,6418.897948
